"";

"Plateforme";Début ;Fin;Jours;"Type";"Titre";"catégories";"Version";Version ID;"Durée Prévue ";"Transmission Statut"
"Orange (LITE)";27/09/2019;26/10/2019;30;"Episode Magazine";"EMOIS ET MOI 58 PIERRE MOREL A L HUISSIER UDI MAI19";"Magazine";"HD VERSION 2";362114;"00:13:00";"Transmis"
"Orange (LITE)";27/09/2019;26/10/2019;30;"Episode Magazine";"EMOIS ET MOI 61 CLEMENTINE AUTAIN LFI JUIN19";"Magazine";"HD";360428;"00:13:00";"Transmis"
"Orange (LITE)";27/09/2019;26/10/2019;30;"Episode Magazine";"LCP LE MAG 19 GILETS JAUNES PAD LE 07DECE18";"Magazine";"HD";354197;"00:27:47";
"Orange (LITE)";27/09/2019;26/10/2019;30;"Episode Magazine";"LCP LE MAG 20 DEPUTES LREM PAD LE 01FEVR19";"Magazine";"HD";354199;"00:28:00";
"Orange (LITE)";27/09/2019;26/10/2019;30;"Episode Magazine";"LCP LE MAG 21 GRAND DEBAT MARS19";"Magazine";"HD";354201;"00:26:00";
"Orange (LITE)";27/09/2019;03/10/2019;7;"Episode Magazine";"PARLEMENT HEBDO 27SEPT19";"Actualité";"HD";363122;"00:26:00";
"Orange (LITE)";27/09/2019;04/10/2019;8;"Episode News Serie";"CA VOUS REGARDE 27SEPT19";"Actualité";"HD";363183;"00:59:00";
"Orange (LITE)";27/09/2019;26/10/2019;30;"Episode News Serie";"TRAV ANS PAD PROJET LOI BIOETHIQUE 24SEPT19 21H30 SUITE";"Actualité";"1H30 HD";363792;"01:27:00";
"Orange (LITE)";27/09/2019;28/09/2019;2;"Episode Production";"DROIT DE SUITE 344 ILS ONT MARCHE SUR LA LUNE HISTOIRE JUIL19";"Documentaire";"HD";360017;"01:26:00";"Transmis"
"Orange (LITE)";27/09/2019;26/10/2019;30;"Production";"LCP LE MAG GILETS JAUNES GRAND DEBAT JUIL19";"Magazine";"HD";362769;"01:27:00";"Transmis"
;;;;;;;;;;
"Orange (LITE)";28/09/2019;28/09/2019;1;"Documentaire";"LE DEFI DE REFORMER JACQUES CHABAN DELMAS";"Documentaire";"169";324838;"00:52:00";"Transmis"
"Orange (LITE)";28/09/2019;28/09/2019;1;"Documentaire";"LE DEFI DE REFORMER JACQUES CHABAN DELMAS";"Documentaire";"169";324838;"00:52:00";
"Orange (LITE)";28/09/2019;27/10/2019;30;"Episode Magazine";"ETAT DE SANTE 105 SANTE FEMMES PAD LE 06MARS19";"Magazine";"HD";354373;"00:26:00";"Transmis"
"Orange (LITE)";28/09/2019;28/09/2019;1;"Episode Production";"DROIT DE SUITE 354 CHABAN DELMAS  HISTOIRE SEPT19";"Documentaire";"HD";363060;"01:26:00";"Transmis"
"Orange (LITE)";28/09/2019;05/10/2019;8;"Episode Production";"REMBOB INA 16 DOSSIER DE L ECRAN PETAIN MARS19";"Magazine";"HD";359131;"01:59:00";"Transmis"
;;;;;;;;;;
;;;;;;;;;;
"SFR (Canal Principal FAI)";27/09/2019;26/10/2019;30;"Episode Magazine";"EMOIS ET MOI 58 PIERRE MOREL A L HUISSIER UDI MAI19";"Magazine";"HD VERSION 2";362114;"00:13:00";"Transmis"
"SFR (Canal Principal FAI)";27/09/2019;26/10/2019;30;"Episode Magazine";"EMOIS ET MOI 61 CLEMENTINE AUTAIN LFI JUIN19";"Magazine";"HD";360428;"00:13:00";"Transmis"
"SFR (Canal Principal FAI)";27/09/2019;26/10/2019;30;"Episode Magazine";"LCP LE MAG 19 GILETS JAUNES PAD LE 07DECE18";"Magazine";"HD";354197;"00:27:47";
"SFR (Canal Principal FAI)";27/09/2019;26/10/2019;30;"Episode Magazine";"LCP LE MAG 20 DEPUTES LREM PAD LE 01FEVR19";"Magazine";"HD";354199;"00:28:00";
"SFR (Canal Principal FAI)";27/09/2019;26/10/2019;30;"Episode Magazine";"LCP LE MAG 21 GRAND DEBAT MARS19";"Magazine";"HD";354201;"00:26:00";
"SFR (Canal Principal FAI)";27/09/2019;03/10/2019;7;"Episode Magazine";"PARLEMENT HEBDO 27SEPT19";"Actualité";"HD";363122;"00:26:00";
"SFR (Canal Principal FAI)";27/09/2019;04/10/2019;8;"Episode News Serie";"CA VOUS REGARDE 27SEPT19";"Actualité";"HD";363183;"00:59:00";
"SFR (Canal Principal FAI)";27/09/2019;26/10/2019;30;"Episode News Serie";"TRAV ANS PAD PROJET LOI BIOETHIQUE 24SEPT19 21H30 SUITE";"Actualité";"1H30 HD";363792;"01:27:00";
"SFR (Canal Principal FAI)";27/09/2019;03/10/2019;7;"Episode Production";"DROIT DE SUITE 344 ILS ONT MARCHE SUR LA LUNE HISTOIRE JUIL19";"Documentaire";"HD";360017;"01:26:00";"Transmis"
"SFR (Canal Principal FAI)";27/09/2019;26/10/2019;30;"Production";"LCP LE MAG GILETS JAUNES GRAND DEBAT JUIL19";"Magazine";"HD";362769;"01:27:00";"Transmis"
;;;;;;;;;;
"SFR (Canal Principal FAI)";28/09/2019;28/09/2019;1;"Documentaire";"LE DEFI DE REFORMER JACQUES CHABAN DELMAS";"Documentaire";"169";324838;"00:52:00";"Transmis"
"SFR (Canal Principal FAI)";28/09/2019;28/09/2019;1;"Documentaire";"LE DEFI DE REFORMER JACQUES CHABAN DELMAS";"Documentaire";"169";324838;"00:52:00";
"SFR (Canal Principal FAI)";28/09/2019;27/10/2019;30;"Episode Magazine";"ETAT DE SANTE 105 SANTE FEMMES PAD LE 06MARS19";"Magazine";"HD";354373;"00:26:00";"Transmis"
"SFR (Canal Principal FAI)";28/09/2019;28/09/2019;1;"Episode Production";"DROIT DE SUITE 354 CHABAN DELMAS  HISTOIRE SEPT19";"Documentaire";"HD";363060;"01:26:00";"Transmis"
"SFR (Canal Principal FAI)";28/09/2019;05/10/2019;8;"Episode Production";"REMBOB INA 16 DOSSIER DE L ECRAN PETAIN MARS19";"Magazine";"HD";359131;"01:59:00";"Transmis"
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;

""